url,Issuer,Cedent / sponsor,Placement / structuring agent/s,Risk modelling / calculation agents etc,Risks / perils covered,Size,Trigger type,Ratings,Date of issue
https://www.artemis.bm/deal-directory/citrus-re-ltd-series-2024-1/,Citrus Re Ltd.,Heritage Property and Casualty Insurance Co.,Aon Securities is sole structuring agent and bookrunner,AIR Worldwide,"US named storm (initially Alabama, Florida, Georgia, Mississippi, North Carolina and South Carolina)",100000000.0,Indemnity,NR,Mar 2024
https://www.artemis.bm/deal-directory/kizuna-re-iii-pte-ltd-series-2024-1/,Kizuna Re III Pte. Ltd.,Tokio Marine & Nichido Fire Insurance Co. Ltd.,Gallagher Securities is sole structuring agent & joint bookrunner. Aon Securities is joint bookrunner,AIR Worldwide,Japan earthquake,100000000.0,Indemnity,NR,Mar 2024
https://www.artemis.bm/deal-directory/integrity-re-ltd-series-2024-1/,Integrity Re Ltd.,"American Integrity Insurance Company of Florida, Inc. via Hannover Rück SE",Gallagher Securities is sole structuring agent & bookrunner,AIR Worldwide,Southeast US named storm,305000000.0,Indemnity,NR,Mar 2024
https://www.artemis.bm/deal-directory/floodsmart-re-ltd-series-2024-1/,FloodSmart Re Ltd.,FEMA / NFIP via Hannover Re,Aon Securities is sole structuring agent and bookrunner,KatRisk LLC,U.S. flood risk (from named storms),575000000.0,Indemnity,NR,Mar 2024
https://www.artemis.bm/deal-directory/ramble-re-ltd-series-2024-1/,Ramble Re Ltd.,Arch Capital Group Ltd.,Howden Tiger Capital Markets & Advisory is sole structuring agent and bookrunner. Lockton Re Capital Markets are co-manager.,AIR Worldwide,US Northeast named storm and US / Canada earthquake,100000000.0,Industry loss index,NR,Feb 2024
https://www.artemis.bm/deal-directory/herbie-re-ltd-series-2024-1/,Herbie Re Ltd.,Fidelis Insurance,Aon Securities is sole structuring agent and bookrunner,AIR Worldwide,"U.S., DC, Puerto Rico, Virgin Islands named storm and earthquake",150000000.0,Industry loss index,NR,Feb 2024
https://www.artemis.bm/deal-directory/winston-re-ltd-series-2024-1/,Winston Re Ltd.,Tower Hill Insurance Exchange,Howden Tiger Capital Markets & Advisory is sole structuring agent and bookrunner,AIR Worldwide,Florida named storm,400000000.0,Indemnity,NR,Feb 2024
https://www.artemis.bm/deal-directory/veraison-re-ltd-series-2024-1/,Veraison Re Ltd.,"GeoVera Insurance Holdings, Ltd.",GC Securities and Howden Tiger Capital Markets & Advisory are joint structuring agents and bookrunners,RMS,US earthquake,175000000.0,RMS,NR,Feb 2024
https://www.artemis.bm/deal-directory/vitality-re-xv-ltd-series-2024/,Vitality Re XV Ltd,Aetna,GC Securities is sole structuring agent and bookrunner,Milliman Inc.,Medical benefit claims levels,200000000.0,Medical benefit ratio (indemnity),Fitch: Class A - BBB+sf; Class B - BB+sf. S&P: Class A - BBB+(sf); Class B - BB+(sf).,Jan 2024
https://www.artemis.bm/deal-directory/eclipse-re-ltd-series-2024-1a/,Eclipse Re Ltd.,Unknown,Unknown,Unknown,Unknown property catastrophe risks,100000000.0,Unknown,NR,Jan 2024
https://www.artemis.bm/deal-directory/sanders-re-iii-ltd-series-2024-1/,Sanders Re III Ltd.,Allstate,Aon Securities is sole structuring agent and joint bookrunner. Goldman Sachs is joint bookrunner.,AIR Worldwide,"US named storm, earthquake, severe weather, wildfire, volcanic eruption, meteorite impact (excl. Florida)",400000000.0,Indemnity,,Jan 2024
https://www.artemis.bm/deal-directory/seaside-re-series-2024-31/,Kaith Re Ltd.,Unknown,Unknown,Unknown,U.S. property catastrophe risks,12500000.0,Unknown,NR,Jan 2024
https://www.artemis.bm/deal-directory/seaside-re-series-2024-13/,Kaith Re Ltd.,Unknown,Unknown,Unknown,U.S. property catastrophe risks,15000000.0,Unknown,NR,Jan 2024
https://www.artemis.bm/deal-directory/seaside-re-series-2024-12/,Kaith Re Ltd.,Unknown,Unknown,Unknown,U.S. property catastrophe risks,7500000.0,Unknown,NR,Jan 2024
https://www.artemis.bm/deal-directory/seaside-re-series-2024-11/,Kaith Re Ltd.,Unknown,Unknown,Unknown,U.S. property catastrophe risks,7500000.0,Unknown,NR,Jan 2024
https://www.artemis.bm/deal-directory/seaside-re-series-2024-1/,Kaith Re Ltd.,Unknown,Unknown,Unknown,U.S. property catastrophe risks,16500000.0,Unknown,NR,Jan 2024
https://www.artemis.bm/deal-directory/fish-pond-re-ltd-series-2024-1/,Fish Pond Re Ltd.,Texas Farm Bureau Insurance,GC Securities is sole structuring agent and bookrunner,AIR Worldwide,Texas named storm,255000000.0,Indemnity,NR,Jan 2024
https://www.artemis.bm/deal-directory/montoya-re-ltd-series-2024-1/,Montoya Re Ltd.,Inigo Insurance (Syndicate 1301),Aon Securities is sole structuring agent and bookrunner,AIR Worldwide,"U.S. named storm, U.S. and Canada earthquake",100000000.0,Industry loss index,NR,Jan 2024
https://www.artemis.bm/deal-directory/matterhorn-re-ltd-series-2023-1/,Matterhorn Re Ltd.,Swiss Re,Swiss Re Capital Markets is sole structuring agent and bookrunner,CyberCube,Cyber risks,50000000.0,Industry loss index,NR,Dec 2023
